Tratamento,REP,Comportamento,Tempo,Observador,Tempo_segundos,Comportamento_2,Tempo_vagner,Tempo_segundos_vagner
DEL,REP_1,Repouso,,tef,0,Repouso,,
DEL,REP_1,Exploracao,1:09:00,tef,69,Exploracao,,
DEL,REP_1,Tentativa_voo,0:24:00,tef,24,Tentativa_voo,00:00:00,0
DEL,REP_1,Limpeza,,tef,0,Limpeza,00:11:00,11
DEL,REP_1,Movimento_circular,1:54:00,tef,114,Movimento_circular,,0
CTR,REP_1,Repouso,,tef,0,Repouso,,0
CTR,REP_1,Exploracao,4:21:00,tef,261,Exploracao,,0
CTR,REP_1,Tentativa_voo,,tef,0,Tentativa_voo,00:00:00,0
CTR,REP_1,Limpeza,,tef,0,Limpeza,00:02:00,2
CTR,REP_1,Movimento_circular,,tef,0,Movimento_circular,,0
CTR,REP_1,Observação,Limpeza em movimento,tef,#VALUE!,Observação,,0
COM,REP_1,Repouso,,tef,0,Repouso,,0
COM,REP_1,Exploracao,2:13:00,tef,133,Exploracao,,0
COM,REP_1,Tentativa_voo,0:01:00,tef,1,Tentativa_voo,0:46:00,46
COM,REP_1,Limpeza,0:14:00,tef,14,Limpeza,01:07:00,67
COM,REP_1,Movimento_circular,,tef,0,Movimento_circular,,0
COM,REP_1,Observação,,tef,0,Observação,,0
IMI,REP_1,Repouso,0:51:00,tef,51,Repouso,,0
IMI,REP_1,Exploracao,1:16:00,tef,76,Exploracao,,0
IMI,REP_1,Tentativa_voo,0:10:00,tef,10,Tentativa_voo,00:00:00,0
IMI,REP_1,Limpeza,1:16:00,tef,76,Limpeza,02:38:00,158
IMI,REP_1,Movimento_circular,,tef,0,Movimento_circular,,0
IMI,REP_1,Observação,,tef,0,Observação,,0
COM,REP_15,Repouso,,vagner,0,Repouso,,0
COM,REP_15,Exploracao,3:23:00,vagner,203,Exploracao,,0
COM,REP_15,Tentativa_voo,,vagner,0,Tentativa_voo,00:02:00,2
COM,REP_15,Limpeza,0:12:00,vagner,12,Limpeza,00:30:00,30
COM,REP_15,Movimento_circular,,vagner,0,Movimento_circular,,0
COM,REP_15,Observação ,,vagner,0,Observação ,,0
IMI,REP_15,Repouso,,vagner,0,Repouso,,0
IMI,REP_15,Exploracao,,vagner,0,Exploracao,,0
IMI,REP_15,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
IMI,REP_15,Limpeza,0:20:00,vagner,20,Limpeza,00:31:00,31
IMI,REP_15,Movimento_circular,3:14:00,vagner,194,Movimento_circular,,0
IMI,REP_15,Observação ,,vagner,0,Observação ,,0
DEL,REP_15,Repouso,,vagner,0,Repouso,,0
DEL,REP_15,Exploracao,3:21:00,vagner,201,Exploracao,,0
DEL,REP_15,Tentativa_voo,,vagner,0,Tentativa_voo,00:00:00,0
DEL,REP_15,Limpeza,0:45:00,vagner,45,Limpeza,00:32:00,32
DEL,REP_15,Movimento_circular,,vagner,0,Movimento_circular,,0
DEL,REP_15,Observação ,Comportamento anormal de rotação em torno do proprio eixo: Comportamento de limpeza em pequenos intervalos durante o movimento:,vagner,#VALUE!,Observação ,Movimento circular anormal,
CTR,REP_15,Repouso,0:40:00,vagner,40,Repouso,,0
CTR,REP_15,Exploracao,2:47:00,vagner,167,Exploracao,,0
CTR,REP_15,Tentativa_voo,,vagner,0,Tentativa_voo,,0
CTR,REP_15,Limpeza,1:12:00,vagner,72,Limpeza,NA,
CTR,REP_15,Movimento_circular,,vagner,0,Movimento_circular,,0
CTR,REP_15,Observação ,Boa parte do comportamento de limpeza aconteceu em repouso,vagner,#VALUE!,Observação ,Bolinha branca grudada no pé,
COM,REP_14,Repouso,,vagner,0,Repouso,,0
