Video,Arena,Sequence,Individual,Group,REP,Beginning_seq,End_seq,Prop_time_lost,Smoothing_filter_window,Smoothing_Polyorder,Moving_threshold,Prop_time_moving,Average_Speed,Average_Speed_Moving,Traveled_Dist,Meander,Traveled_Dist_Moving,Meander_moving,Exploration_absolute_value,Exploration_relative_value,Exploration_method,Exploration_area,Exploration_aspect_param,Mean_nb_neighbours,Prop_time_with_at_least_one_neighbour,Mean_shortest_interind_distance,Mean_sum_interind_distances
REP_1.avi,0,1_min,DEL_1,DEL,1,0,59.99,0,15,2,0.28,0.9959885387,4.264667891,4.280993563,255.839022,173.4505597,255.788188,127.477689,28.34477356,0.4889681494,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,0,2_min,DEL_1,DEL,1,59.99,119.98,0,15,2,0.28,0.9925544101,3.689901412,3.71624169,221.4854189,306.0080558,221.405626,134.3306853,29.46215763,0.5082438448,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,0,3_min,DEL_1,DEL,1,119.98,179.97,0,15,2,0.28,0.9971363116,3.944944,3.955728595,236.7942872,123.3489565,236.7616709,98.42550801,24.04242693,0.4147495121,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,0,4_min,DEL_1,DEL,1,179.97,240,0,15,2,0.28,0.9937034917,3.632416184,3.654460732,218.1597591,300.8253522,218.1017544,132.7321039,25.2974638,0.4363998193,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,0,5_min,DEL_1,DEL,1,240,256.19,0,15,2,0.28,0.9915254237,2.797223007,2.819211413,45.38948224,312.8897496,45.35859947,204.8538172,15.32850311,0.26442793,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,0,General,DEL_1,DEL,1,0,256.19,0,15,2,0.28,0.9946323135,3.814022619,3.833616106,977.1072798,231.5449639,976.8551492,128.4223055,43.14495743,0.7442821846,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,General,CTR_1,CTR,1,0,256.19,0,15,2,0.28,0.9857756307,3.068534535,3.110029926,786.1220899,393.4588729,785.4194113,251.3839184,48.8054412,0.8325806912,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,1_min,CTR_1,CTR,1,0,59.99,0,15,2,0.28,0.9936962751,4.056835273,4.081207927,243.3710654,154.6301501,243.289829,119.4329521,36.62344703,0.6247658887,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,2_min,CTR_1,CTR,1,59.99,119.98,0,15,2,0.28,0.9977090493,3.95522247,3.963850639,237.4112498,124.2899095,237.3840695,102.3329526,38.68545254,0.6599420069,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,3_min,CTR_1,CTR,1,119.98,179.97,0,15,2,0.28,0.9948453608,3.672104101,3.689908102,220.4171397,186.4572403,220.344141,141.8674345,36.18763938,0.6173313685,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,4_min,CTR_1,CTR,1,179.97,240,0,15,2,0.28,0.9559244419,1.104177824,1.146596974,66.31596049,1082.22674,65.82841536,611.8406984,17.89096293,0.3052051148,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,1,5_min,CTR_1,CTR,1,240,256.19,0,15,2,0.28,0.9894067797,1.178779794,1.189300372,19.12761493,485.3138531,19.09389692,413.857747,10.17794773,0.1736274184,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,General,COM_1,COM,1,0,256.19,0,15,2,0.28,0.9781266774,3.063870644,3.128472312,784.9272566,488.9992993,783.9464619,223.3856924,32.49497762,0.5861455412,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,1_min,COM_1,COM,1,0,59.99,0,15,2,0.28,0.9839541547,3.206312664,3.255991398,192.347896,484.1407933,192.1939367,271.4672391,24.69558111,0.4454597545,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,2_min,COM_1,COM,1,59.99,119.98,0,15,2,0.28,0.979954181,3.089700794,3.149223508,185.4585254,478.6429882,185.2420731,242.4094608,19.40570103,0.3500407129,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,3_min,COM_1,COM,1,119.98,179.97,0,15,2,0.28,0.9656357388,3.076202553,3.179669265,184.6482968,666.1376142,184.3001369,191.5009729,17.17929238,0.3098806759,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,4_min,COM_1,COM,1,179.97,240,0,15,2,0.28,0.9816828849,2.979365851,3.031342334,178.9381237,342.4047097,178.724976,185.8898964,23.22375502,0.418910904,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,2,5_min,COM_1,COM,1,240,256.19,0,15,2,0.28,0.9830508475,2.714059831,2.757777448,44.04002476,429.286616,43.99094939,228.7968754,15.79050381,0.2848296591,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,3,General,IMI_1,IMI,1,0,256.19,0,15,2,0.28,0.4935587762,0.5381411371,0.9907665585,137.8653656,21029.49757,125.2763821,417.2342101,24.16001698,0.4456735168,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,3,1_min,IMI_1,IMI,1,0,59.99,0,15,2,0.28,0.4538681948,0.4704268522,0.9621171739,28.22108282,34114.78426,26.19625969,283.8711555,9.693097788,0.1788060407,Modern,0.2,NA,NA,NA,NA,NA
REP_1.avi,3,2_min,IMI_1,IMI,1,59.99,119.98,0,15,2,0.28,0.2313860252,0.2115898842,0.6495827523,12.70063042,41028.50646,9.021982671,573.6740905,2.29105531,0.04226249833,Modern,0.2,NA,NA,NA,NA,NA
